Rank,NCTId,BriefTitle,Condition,EligibilityCriteria,DetailedDescription,Keyword,OverallStatus,LocationCity,StartDate,SeeAlsoLinkURL
2,NCT03379480,Study on Examination of Therapeutic Efficacy and Potential Mechanisms of Yoga Treatment in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Schizophrenia Subject||ICD (International Classification of Diseases) 10 diagnosis of schizophrenia|capacity to provide informed consent, as evaluated by the MacArthur Competence Assessment Tool for Clinical Research|no other current comorbid axis I diagnosis (except nicotine abuse/dependence) and no general impaired intellectual functioning||Healthy volunteers:||Males and females between 18 and 45 years|Capacity to provide informed consent|absence of past or present psychiatric illnesses including substance abuse 4) no general impaired intellectual functioning (MMSE above24)||Exclusion Criteria:||Other current comorbid axis I diagnosis (except nicotine abuse/dependence) and general impaired intellectual functioning|History of alcohol or substance abuse or dependence in the last 12 months (with the exception of nicotine)|Any Contraindication to MRI like metal implants or paramagnetic objects within the body or claustrophobia (only for patients undergoing fMRI at NIMHANS)|Past history of head injury resulting in loss of consciousness or neurosurgery|Concomitant severe medical conditions|Change in dose of antipsychotic medication or Electroconvulsive therapy in the past 6weeks|Pregnant or lactating -",0,Schizophrenia|Yoga|fMRI,Completed,Bangalore,"November 11, 2016",0
3,NCT02166918,Factors Influencing Social Functioning of People With Schizophrenia,Schizophrenia,"Inclusion Criteria for patients recruited from those attending the outpatient units of the University Psychiatric Clinics of Naples, Turin, Genova and Bari:||diagnosis of schizophrenia according to DSM-IV, confirmed with the Structured Clinical Interview for DSMIV - Patient version (SCID-I-P),|age between 18 and 65 years||Exclusion Criteria for patients:||a history of head trauma with loss of consciousness,|neurological disease,|history of alcoholism or substance abuse in the last six months,|pregnancy,|inability to provide informed consent,|moderate or severe mental retardation,|changes in antipsychotic therapy and hospitalization for exacerbation of symptoms in the 3 months prior to inclusion in the study.||Exclusion criteria for unaffected relatives and healthy controls:||a positive personal history of psychiatric disorders and/or|a family history of mood or psychotic disorders or hospitalization in a psychiatric hospital.|any degree of mental retardation|current use of medications with central nervous system effects.|those listed in a-e for patients||The Structured Clinical Interview for DSM IV Non Patients Version (SCID-NP-I) and the SCID II will be administered to both healthy controls and family members.","The study will last 36 months. The questionnaire for the assessment of physical health and medical conditions risk factors, as well as the manual concerning the procedures for screening and assessment of medical comorbidity, will be developed during the first three months of the study. The recruitment and assessment of all subjects will be completed within the first semester of the third year.||The analysis of data collected will be completed in the second semester of the third year.||PROCEDURES AND ASSESSMENT TOOLS In all subjects a blood sample of 20 ml will be withdrawn from a peripheral vein for genetic analyses.||Evaluation of aspects related to the disease. For all patients a clinical form will be filled in with data on age and type of disease onset, course of the disease and treatments. All available sources of information (patient, family, medical records and mental health workers) will be used to complete the form.||The Premorbid Adjustment Scale (PAS) will be used to assess premorbid adjustment. It evaluates the achieved level of functioning before the onset of schizophrenia in four areas (social accessibility/isolation, peer relationships, ability to function outside the nuclear family, and capacity to form intimate social - sexual ties) during 4 periods of subject's life (childhood; early adolescence; late adolescence; adulthood), as well as the highest achieved global level of functioning. It comprises 26 items with a score ranging from 0 (healthiest end of the adjustment range) to 6 (indicating the least healthy end).||General psychopathology and positive symptoms will be evaluated using the Positive and Negative Syndrome Scale (PANSS).||Negative symptoms will be assessed using the Brief Negative Symptom Scale (BNSS). This scale includes 13 items and assesses 5 domains of negative symptoms: anhedonia, asociality, avolition, blunted affect and alogia, as well as a control item, not included in the negative domains, ""Distress"". For all items of the 5 domains higher scores are associated with greater impairment/presence of symptoms, while for the item Distress the highest score is associated with reduction or absence of negative emotions.||Depressive symptoms will be investigated using the Calgary Depression Rating Scale (CDRS), a rating scale designed to assess the level of depression in people with schizophrenia. It includes 9 items (depression; hopelessness; self depreciation; guilty ideas of reference; pathological guilt; morning depression; early wakening; suicide; observed depression) with a score ranging from 0 (absent) to 3 (severe).||The possible presence of extrapyramidal symptoms, whose assessment is required to exclude that the observed negative symptoms are secondary to them, will be verified by means of the St. Hans Rating Scale (SHRS), a multidimensional rating scale comprising four subscales: hyperkinesias, parkinsonism, akathisia and dystonia. Each subscale includes one or more items with a score ranging from 0 (absent) to 6 (severe).||Neurocognitive functions will be evaluated by means of the Measurement and Treatment Research to Improve Cognition in Schizophrenia (MATRICS) Consensus Cognitive Battery (MCCB). The battery includes tests for the assessment of seven distinct cognitive domains: a) processing speed, b) attention/vigilance, c) working memory, d) verbal learning, e) visual learning, f) social cognition and g) reasoning and problem solving.||The assessment of social cognition, partly included in the MCCB, will be completed using the Facial Emotion Identification Test and a theory of mind test The Awareness of Social Inference Test (TASIT). In the Facial Emotion Identification Test (FEIT), 55 faces are presented on a screen; the subject has to choose the facial emotion expressed by each face among 7 possibilities (anger, disgust, neutral, happiness, surprise, fear, sadness). The TASIT includes three sections: 1) Emotion Evaluation Test, that examines the ability to recognize basic emotions shown by other people, in which 28 vignettes are presented to the subject who has to choose the emotion expressed by a target actor from a multiple-choice array (surprise, happiness, anger, sadness, anxiety, disgust, neutral); 2) Test of Social Inference (Minimal), that evaluates the ability to perceive social inferences, specifically those involving the use of sarcasm; 15 vignettes are presented and the subject has to answer, for each vignette, four questions regarding, respectively, what one of the actors was ""doing"", what was he/she trying to ""say"", what was he/she ""thinking"" and what was he/she ""feeling""; 3) Test of Social Inference (Enriched), that evaluates the ability to perceive social inferences involving lying and using sarcasm; 16 vignettes are presented and the same questions of the second section are asked.||Assessment of personal resources The evaluation of physical health status will be carried out through the application of a standardized protocol developed by the unit N. 5 of Naples.||The assessment of coping style will be made by means of the Coping Orientation to Problems Experienced inventory - Brief, including 28 items, divided into 14 scales: positive reframing, self-distraction, expression, use of instrumental support, active coping, denial, religion, humor, behavioral disengagement, use of emotional support, substance use, acceptance, planning, self-blame. The tool aims to capture a wide range of coping strategies in real life situations.||The evaluation of self-esteem will be carried out using the Self-Esteem Rating Scale (SERS), which assesses different aspects of the self-esteem, such as feeling socially and self-competent, being worth of respect, feeling intelligent and able to solve problems. SERS is composed of 40 items, with ratings on a 7-point Likert scale.||The recovery style will be evaluated using the Recovery Style Questionnaire. This self-administered instrument consists of 39 items that refer to the construct of continuity, ownership, responsibility, curiosity, education, help-seeking, blame, cause, optimism, impact, fear, liking and satisfaction. For each of them the person is categorized as sealer or integrator.||Resilience will be evaluated through the Resilience Scale for Adults (RSA). The RSA is a scale that provides a multidimensional assessment of resilience general characteristics. It includes 33 items that examine intra-and inter-personal protective factors thought to facilitate adaptation when facing psychosocial adversity. Factor analysis showed six factors: a) personal competence, b) positive perception of the future, c) social competence, d), personal structure, and) family cohesion, f) social resources.||The relationship with mental health services will be evaluated with the Service Engagement Scale (SES), which includes 16 items grouped into 4 subscales: a) availability, b) cooperation c) help seeking d) adherence to treatment. The person is given a score on a 4-point Likert scale. c) Evaluation of factors related to the context. For the evaluation of subject's family social - economic status the Social Economic Status will be used. The SES is based on: a) education and b) type of work. The educational level is measured on a 7-level scale (1=elementary school, 7=post-degree/specialization courses) and the type of work is rated on a 9-level scale (1=laborer, 9=high level managerial positions). To calculate the index the education level and the type of work of each parent is weighted.||The amount of social policies expenditure and the unemployment rate in the geographical macro-area (Northeast, Northwest, Central, South and Islands) will be taken from the latest Italian National Institute of Statistic (ISTAT) tables. The availability of a disability pension, and access to family and social incentives will be investigated through a social - demographic questionnaire developed ad hoc with which data on sex, age, marital status, schooling, housing, and luxuries habits will be also collected. For the evaluation of the social network the Social Network Questionnaire (SNQ) will be used. It is a self-administered questionnaire that evaluates the structural and qualitative aspects of the social network. It includes 15 items, grouped into 4 factors: a) quality and frequency of social contacts; b) practical social support; c) emotional support, d) quality of an intimate relationship. Each item is rated on a scale from 1 ""never"" to 4 ""always"". The evaluation of the stigma associated with mental illness will be carried out using two instruments: the Internalized Stigma of Mental Illness (ISMI), which will be administered to all patients and evaluates the experience of stigma and internalized self-rejection, and the Perceived Devaluation and Discrimination Scale (PDD), which measures the perceived stigma, i.e., the attitudes of the general population with respect to mental disorders, which will be administered to all subjects. The ISMI is a scale that includes 29 items and 5 subscales for self-assessment of subjective experience of stigma. Each item is rated on a 4-level Likert scale, where higher scores indicate greater levels of internalized stigma. The PDD includes 12 items, each of whom is rated on a 5-level Likert scale, with higher scores indicating greater stigma.||d) Assessment of functional capacity and real-life functioning The functional capacity will be evaluated using the short version of the Performance-based Skills Assessment, University of California, San Diego (UCSD) , a performance-based instrument that investigates two areas: Financial Skills (counting money, counting change and paying bills) and Communication Skills (to dial a telephone number for emergency, for information, dial a telephone number from memory; to reschedule an appointment by telephone; to understand and to remember the instructions on a Medical Doctor Appointment Letter). Individual real-life functioning will be assessed by the Specific Level of Function Scale (SLOF), a hybrid instrument that explores many aspects of functioning and is based on judgments by a caregiver/operator (or the direct observation) of behavior and functioning of patients. It consists of 43 items and includes the following domains: a) physical efficiency; b) skills in self-care; c) interpersonal relationships; d) social acceptability; e) community activities (e.g., shopping, using public transportation); f) working abilities. The scale that assesses ""Personal and Social Functioning"" (PSF) will be also used; it evaluates the areas of self-care, socially useful activities, personal and social relationships and disturbing and aggressive behaviors.||GENETIC ASSOCIATION ANALYSES WITH THE PHENOTYPES OF INTEREST The Naples research unit n. 6 will perform an association study between selected putative schizophrenia genes and specific psychometric, neurophysiological and neurocognitive schizophrenia endophenotypes; moreover, the research unit will search for de novo copy-number variations (CNV) as putative risk factors for schizophrenia or schizophrenia endophenotypes and for de novo protein-altering mutations that may contribute to the genetic component of schizophrenia endophenotypes.||STATISTICAL ANALYSIS OF DATA To identify the factors that affect most real-life functioning of people diagnosed with schizophrenia multiple regression statistical models will be used. Real-life functioning and functional capacity indices will be defined as dependent variables. The three blocks of variables, i.e. disease-related variable, personal resources and context-related variables, will be the independent variables or predictors. structural equation model (SEM), that according to some authors is robust against the problem of multicollinearity occurring in a regression model when there is a linear correlation among the independent variables, will be used. This analysis allows to draw assumptions on the causality between the variables and, based on path analysis o identify potential factors mediating and moderating the relationships between dependent and independent variables. The explored models will be subsequently tested with confirmatory analyses.||Estimated sample size for this analysis is of at least 5 independent observations for each index in the model. Therefore, by including in the model: 3 demographic indices (age, sex and education), 15 variables related to the disease (PANSS-general and PANSS-positive subscale scores, 2 negative symptom domains derived from BNSS, 6 cognitive domains from the MCCB, 4 indices of social cognition, derived from the specific section of the MCCB, TASIT and FEIT, the total score for depression on the Calgary scale), 36 indices related to the personal resources (6 factors of Resilience, 14 Coping factors, 13 Recovery styles factors, 1 score for Self-Esteem, 1 index of relationship with mental health services, 1 physical health index) and 10 related to the context (1 index of economic status, 5 indices of financial opportunities and work/family and social incentives, 2 stigma indices, 2 social network factors), for a total of 64 indices, it is estimated that an appropriate sample of patients will be 64x5=320 subjects.||The effects of dichotomous variables (eg, gender) and ordinal (eg, social class) will be assessed with one- or multiple-way analyses of variance. The analyses will be conducted using the Statistical Package for Social Science (SPSS).",Schizophrenia|Real-Life Functioning|Schizophrenia Endophenotypes,Completed,Bari|Genova|Napoli|Torino,June 2013,0
4,NCT02712463,A Study to Assess the Rate of Hospitalization in Participants With Schizophrenia Treated With Antipsychotics,Schizophrenia,"Inclusion Criteria:||Out-Patients with the main diagnosis of schizophrenia with Diagnostic and Statistical Manual of Mental Disorders (DSM-4 criteria)|Only clinical records with complete information during the 2 years period selected for data analysis will be included|Participants treated with oral antipsychotics then switched to Long Acting Injectable (LAI) due to poor adherence, lack of efficacy (no significant symptom reduction, judged by physician, at maximum recommended dose of an antipsychotic for 6 weeks), or participants choice, (Excluding for the Brazil population, when the switch has not been clearly justified or the switch has not been done during hospitalization)|Being regularly treated with LAI atypical antipsychotics for at least 1 year after the initial use of LAI atypical antipsychotics||Exclusion Criteria:||Participants with refractory schizophrenia (RS)|Participants that started LAI treatment as in-patients and patients that switched to LAI during hospitalization (only for Mexican population).","This is a retrospective (take a look back at events that already have taken place), observational, multicenter (when more than one hospital or medical school team work on a medical research study) study to review medical records of adults with a diagnosis of Schizophrenia during the time period from 01 January 2009 through 31-December-2013 (only for Mexican population). Data will be collected from clinical practice. The medical records of participants will be screened and eligible participants data will be collected. The period of observation will span from 12 months before initial Long Acting Injectable (LAI) use and in 12 months after the initial LAIs use. The rate of hospitalization will be primarily evaluated.",Schizophrenia|Oral antipsychotics|Long acting Injectable antipsychotics,Completed,Aracaju|Brasilia|Rio De Janeiro|Sao Jose|Sao Paulo|Durango|Hermosillo|Ixtapaluca|Mexico|Monterrey|San Pedro Garza García,July 2015,0
5,NCT03209778,Involuntary Memories Investigation in Schizophrenia,Schizophrenia,"Inclusion Criteria:||- for patients only|male or female|age limits : 18-55 years old|under the protection of health insurance|who have signed up the consent form|schizophrenia or schizo-affective disorder according to the DSM-5 criteria (APA, 2013).|clinically stable for at least 2 months|patients under guardianship or curatorship need agreement of their legal representative|informed of the results of prior medical examination for controls only|male or female|age limits : 18-55 years old|under the protection of health insurance|who have sign up the consent form|recruited from the general population and matched on gender, age years of schooling|no psychiatric history (DSM-5)||Exclusion Criteria:||for both patients and controls|current severe or unstable somatic illness|neurological history (brain injury > 15 minutes loss of consciousness , epilepsia, brain surgery…)|current substance use disorder (DSM-5)|current major depressive disorder (CDSS,BDI, HDRS)|mental retardation (IQ < 70, WAIS-4, f-NART)|history of general anesthesia 3 months prior to the experiment|pregnancy declared by the subject|breast feeding|current legal control|in emergency situation|included during exclusion period in another experiment|for controls only|taking of antipsychotic drugs for the 3 weeks prior to inclusion|under guardianship or curatorship",0,0,Terminated,Strasbourg,"September 29, 2017",0
7,NCT02634671,Perception of Facial Emotions in Schizophrenia and 22q11 Deletion Syndrome,Schizophrenia,"Inclusion Criteria:||Aged 15-50 years old|No psychiatric conditions or comorbidity|Agreement from parents if participant is underage|Patients with schizophrenia: diagnosis assessed with DSM5 criteria|Patients with 22q11.2 DS: diagnosis assessed by genetic tests (CGH- array or FISH)|No mental delay (IQ>70 according to the fNART)|No modification of psychotropic treatment during the month before inclusion||Exclusion Criteria:||Involvement in a current program of social cognition remediation|Pregnancy|Substance use disorder (criteria of DSM-5), except for caffeine and tobacco|Neurologic disorders (vascular, infectious or neurodegenerative)|Uncorrected visual deficit|Guardianship|Medical drugs with cerebral or psychological effect (e.g, corticosteroids)|Resistance to antipsychotics|Electroconvulsive therapy in the previous two months","Methods:||This study will be conducted using visual steady-state visual evoked potentials (SSVEPs). Visual SSVEPs are periodic neural electrophysiological activities that arise in response to fast periodic visual stimulation (FPVS). They will be recorded in response to the periodic presentation of faces, according to an oddball paradigm. While pictures of faces will appear at a 6 Hz rate, only 1 out of 5 will display an emotion, corresponding to a 1.2 Hz oddball frequency. Different emotions will be tested (happiness, sadness, anger, fear and disgust), displayed with different intensities (20%, 60%, 100%). SSVEPs at 6 Hz will reflect general visual mechanisms (in response to a mixture of low-level (i.e., contrast coding) and high-level (i.e., face detection) processes). Importantly, SSVEPs at 1.2 Hz will index the visual mechanisms specifically involved in facial expression perception and their sensitivity to emotion intensity. Both measures will help determine the underlying brain topographies.||Alongside, clinical and neuropsychological tests will be conducted. While the clinical tests will evaluate the severity of the symptoms, the neuropsychological tests will assess different features such as attention, memory, verbal and visuo-spatial abilities. The patients' scores will be linked with their cerebral activity in response to facial expressions.||Outcomes:||To better understand the impairment of facial emotion recognition in schizophrenia and 22q11.2DS and to improve its care.",schizophrenia|Facial emotions,Completed,0,November 2015,0
8,NCT03163706,Evaluation of Stroop Effect in Patients With Schizophrenia,Schizophrenia,"Inclusion Criteria:||For both:||MMSE score greater than or equal to, 22 if no grade ; 23 if study certificate or CAP or college without patent ; 25 if patent or school without the tray ; 26 or more when bin|IQ ≥ 75 (fNART)|Lextale score ≥ 28|Age: between 18 and 45 years||For patients :||DSM-5 criteria of schizophrenia|Patients followed as outpatients,|Age of onset of the disease less than 40 years,|Patients whose disease has stabilized: no changes psychotropic treatment for at least 1 month|Not more of a benzodiazepine,|Patients on protection of justice or not,||For controls :||Matched for sex to patient|Age-matched (+/- 3 years) to patient|Matched for IQ (score fNART +/- 10% to patients|Matched for Lextale score+/- 10% to patients||Exclusion Criteria:||For patients :||Any other comorbid psychiatric diagnosis of Axis I DSM-5|Extrapyramidal syndrome or tardive dyskinesia (AIMS score <2 BARS score <2 and score Simpson and Angus <3)|Calgary depression scale ≥ 6|Current or past addiction to all toxic substances (including alcohol and cannabis) except tobacco.|Current or past use of all toxic consumption (excluding alcohol, tobacco and cannabis).|Use of alcohol or cannabis before the age of 15 years|Alcohol abuse in the past 6 months.|Cannabis abuse in the past 6 months and cannabis use in the last 3 months.|Patients with impaired vision or hearing preventing the realization of the tests.||For controls:||Any psychiatric diagnosis according to DSM-5, including addictions (excluding tobacco)|Score HADS Anxiety ≥ 8 and Depression ≥ 8|SCL90R: global severity score GSI> 0.33 for women and> 0.27 for men, or score diversity PST symptoms> 18.49 for men and> 21.97 for women or score of degree of discomfort PSDI> 1.27 for men and> 1.3 for women, scoring in the subscale Psychotic Features> 0.|Presence of a personality disorder at PDQ4 +|Head injuries, brain injuries or diseases,|vision or hearing problems preventing the realization of the tests.|Current or past addiction to all toxic substances (including alcohol and cannabis) except tobacco.|Current or past use of all toxic consumption (excluding alcohol, tobacco and cannabis).|Long-term Anticholinergic treatment.|Related to the first degree diagnosed with a psychotic disorder","First, participants will receive six categories of stimuli presented in a classical way: (1) incongruous stimulus classical (BLUE written in green for example); (2) associated incongruous stimuli (SKY written in green for example); (3) conventional congruent stimuli (BLUE written in blue for example); (4) associated congruent stimuli (SKY written in blue for example); (5) neutral words (BRIDGE written in green for example); And (6) neutral stimulus (XXXX written in green for example).||In a second step (after a 5 minute break), they will receive these six categories of stimuli, but only half will be presented in a classic way and the other half will be presented in order to attract attention as in Augustinova and Ferrand 2007). To do this, in (1) incongruous stimuli classical like BLUE, a single letter (like B for example) will be colored in green for example and the rest of the word (LUE) will appear in gray); In (2) incongruous stimuli associated as SKY, only K for example will be green and the rest of the word will appear in gray); In (3) conventional congruent stimuli such as BLUE, only B for example will be written in blue and the rest of the word will appear in gray); In (4) associated congruent stimuli such as SKY only K for example will be written in blue and the rest of the word will appear in gray); In (5) neutral words like BRIDGE, only D will be colored in green for example and the rest of the word will appear in gray; And finally, in (6) neutral stimuli like XXXX, only one X will be colored in green for example and the rest of the X will appear in gray.||The task will be to name the color of each word (by stating the color verbally) as quickly and correctly as possible, while ignoring the written word. In this experiment, we will measure the time taken to denominate the color (in milliseconds) as well as the percentages of incorrect answers.||The first step allows to determine the stroop effect and the second the semantic conflict.",Schizophrenia|Stroop effect|Semantic conflict|Response conflict,Unknown status,Clermont-Ferrand,"September 21, 2016",0
9,NCT00383747,The Effects of Nicotine on Cognition in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Patients:||DSM IV diagnosis of schizophrenia,|age 18 - 60 inclusive,|able to provide informed consent,|treated with antipsychotic medications at a stable dose for at least 4 weeks,|not treated with an investigational medication in the past 30 days,|WRAT-3 IQ raw score greater than or equal to 35,|non smokers for more than 3 months*,|normal or corrected to normal vision.||Non Smoking defined by:||Self report of not smoking a single cigarette in the past 3 months.|Salivary Cotinine level < 30 ng/ml at screening and on the day of testing|Expired air CO < 9ppm on the day of the testing||Inclusion Criteria:||Control Group:||Age 18 - 60 inclusive,|able to provide informed consent,|not treated with an investigational medication in the past 30 days,|WRAT-3 IQ raw score greater than or equal to 35,|non smokers for more than 3 months*,|normal or corrected to normal vision,|Non Smoking as defined above.||Exclusion Criteria:||Patients:||Use of any nicotine containing product in the past 3 months by self report,|use of cholinesterase inhibitors such as galantamine in the past 3 months,|untreated ischaemic heart disease,|uncontrolled hypertension,|current unstable serious medical illness (renal, neoplastic, hematological),|allergy to patches.|Currently or planning to be pregnant in the next 8 weeks, as verified by positive pregnancy test, or childbearing potential and not using adequate contraception. Those not of childbearing potential include post-menopausal, surgically sterilized, and male participants.|Substance abuse in the past month: self-reported, diagnosed during chart review, and verified by a positive salivary test for cotinine, cocaine, methamphetamine, amphetamine, ethanol, TCH, opiates or PCP at screen.|Recent deterioration in mental state, current major depressive disorder, history of cognitive impairment secondary to other disorders such as head injury, dementia, general medical condition, diagnosis of mental retardation||Exclusion criteria:||Controls:||Past or present DSM IV diagnosis of schizophrenia, schizoaffective disorder, major depression, bipolar disorder, or mental retardation.|First degree relative with diagnosis of schizophrenia or schizoaffective disorder,|use of cholinesterase inhibitors such as galantamine in the past 3 months,|untreated ischaemic heart disease,|uncontrolled hypertension,|current unstable serious medical illness (renal, neoplastic, hematological,)|allergy to patches,|currently or planning to be pregnant in the next 8 weeks, as verified by positive pregnancy test, or childbearing potential and not using adequate contraception. Those not of childbearing potential include post-menopausal, surgically sterilized, and male participants.|Substance abuse in the past month: self-reported, diagnosed during chart review, and verified by a positive salivary test for cotinine, cocaine, methamphetamine, amphetamine, ethanol, TCH, opiates and PCP at screen.|History of cognitive impairment secondary to other disorders such as head injury, dementia, general medical condition","We propose to test the efficacy and safety of transdermal nicotine for attention and working memory in outpatients with stable symptoms of schizophrenia treated with high potency antipsychotic medications that do not smoke cigarettes or use nicotine-containing products. This is a randomized, double-blind, placebo-controlled pilot study to determine whether transdermal nicotine, initiated in a clinic setting and dosed for four hours is safe and effective for improving attention and spatial working memory deficits in patients with schizophrenia. This is an add-on study, subjects will continue with their usual medications and treatments throughout.||Subjects are 30- non-smoking outpatients with stable treated schizophrenia and 30 normal controls who do not have a major mental illness and who are matched for age sex and parental education. Subjects are randomized to one of 2 groups for order of receiving active and placebo patch, using a computer generated random number sequence. Randomization is concealed using opaque envelopes. Assessors and subjects are blind to group allocation.||The primary outcome measure is d' measure on the CPT-IP following a 4 hour administration of the transdermal nicotine patch. Secondary outcome measures are performance on tasks assessing attention, numeric and visuospatial working memory, psychomotor ability, executive functioning and motivation for reward following nicotine patch administration.||Specific Aims||To evaluate the effectiveness of transdermal nicotine compared with placebo for attentional impairment in patients with schizophrenia||Hypothesis 1.1: Subjects will demonstrate greater signal detection as measured by the d' (hits vs. false alarms) on the Continuous Performance Test Identical Pairs Version (CPT-IP) following 4-hour nicotine administration when compared with placebo administration.||Hypothesis 1.2: Subjects will demonstrate decreased false alarms on the CPT-IP following 4-hour nicotine administration when compared with placebo administration.||Hypothesis 1.3: Subjects will demonstrate decreased reaction time on the CPT-IP following 4- hour nicotine administration when compared with placebo administration.||To evaluate the effect of transdermal nicotine in patients with schizophrenia compared with normal matched controls||Hypothesis 2.1: Schizophrenia subjects will demonstrate greater improvement in signal detection as measured by the d' (hits vs. false alarms) on the Continuous Performance test identical pairs version(CPT-IP) following 4-hour nicotine administration when compared with normal controls.||Hypothesis 2.2: Schizophrenia subjects will demonstrate greater reduction in false alarms on the CPT-IP following 4-hour nicotine administration when compared with normal controls.||Hypothesis 2.3: Schizophrenia subjects will demonstrate decreased reaction time on the CPT-IP following 4- hour nicotine administration when compared with normal controls. Performance Test Identical Pairs Version",cognition|nicotine|schizophrenia,Completed,Boston,April 2004,0
11,NCT00356317,Culturally Based Family Therapy for Improving Treatment Outcome for People With Schizophrenia,Schizophrenia,"Inclusion Criteria:||For participants with schizophrenia or schizoaffective disorder:||Diagnosis of schizophrenia or schizoaffective disorder|Currently taking medication|18 or older||For all participants:||Two or more family members, including patient, are available for participation (therapy can be conducted if patient is not available, as long as two other family members are interested in participating)|Family members must be at least 13 years old||Exclusion Criteria:||N/A","Schizophrenia is a disabling mental disorder that affects approximately 1% of the population worldwide. People with schizophrenia frequently experience hallucinations, delusions, disordered thinking, movement disorders, emotional numbness, social withdrawal, and cognitive deficits. These symptoms can hinder a person's ability to perform everyday functions, such as hold a job and maintain normal social relationships. When combined with medication, family-oriented therapy interventions have been beneficial for people with schizophrenia. There are few programs, however, that are tailored to the needs of minorities. With the rising number of minority populations in the U.S., it is important to develop psychotherapy interventions that are designed specifically for these groups. This study will evaluate the effectiveness of a culturally based family therapy intervention in improving treatment outcome in people with schizophrenia.||Participants in this 12-month, open label study will first attend a 2-hour screening visit, at which information will be gathered regarding coping styles, spirituality, and expressed emotion. Participants will then be randomly assigned to receive either culturally based therapy or treatment as usual. Although the culturally based therapy will be tailored to the needs and values of Hispanics, people who are not Hispanic will not be excluded. The culturally based therapy will entail 15 weekly therapy sessions, which will focus on family unity, psychoeducation, spirituality, communication skills, and problem-solving. The group receiving treatment as usual will attend 3 weekly psychoeducation sessions that will focus on informing participants about schizophrenia. Outcomes for both groups will be assessed upon completion of treatment and at follow-up visits at Months 6 and 12.",Culture|Family|Therapy,Completed,Coral Gables,March 2015,0
12,NCT02423096,Neuroendocrine and Metabolite Substrates in Schizophrenia,Schizophrenia,"Patients with Schizophrenia||Inclusion criteria:||Diagnosed with schizophrenia and will be confirmed using the Chinese version of the Mini International Neuropsychiatric Interview (MINI).|Age between 18 to 79.|Have signed the informed consent.||Exclusion criteria:||1. Having history of illicit drug use or other major psychiatric disorders (e.g., bipolar disorder, major depressive disorder, or organic mental disorders).||Healthy Controls||Inclusion criteria:||Psychiatric diagnosis without schizophrenia will be confirmed using the Chinese version of MINI.|Age between 18 to 79.|Have signed the informed consent.||Exclusion criteria:||1. Having history of illicit drug use or other major psychiatric disorders (e.g., psychosis, bipolar disorder, major depressive disorder, or organic mental disorders).","The investigators plan to recruit 100 patients with schizophrenia and 100 healthy control subjects.|For the patients, diagnoses of schizophrenia will be confirmed using the Chinese version of the Mini International Neuropsychiatric Interview (MINI). At the baseline and Week 12, patient blood samples will be obtained to measure the levels of neuroendocrine substrates (didehydroepiandrosterone, dehydroepiandrosterone sulfate, pregnenolone, and cortisol) and metabolite markers (lipid profiles, glycerate, eicosenoic acid, pyruvate, b-hydroxybutyrate, Cysteine). Cognitive function will be evaluated using the Brief Assessment of Cognition in Schizophrenia. The participants' clinical symptoms and daily activities will be assessed using the Positive and Negative Syndrome Scale, 17-item Hamilton Depression Rating Scale, and Personal and Social Performance Scale.|For the healthy control subjects, psychiatric diagnoses will be verified using MINI, and blood samples will be obtained once to measure neuroendocrine and metabolite marker levels.",biomarker|neuroendocrine|metabolite|cognitive functioning|clinical symptoms|schizophrenia,Unknown status,Kaohsiung,December 2013,0
13,NCT03608137,Cannabis and Thought Disorder in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Aged between 18 and 65|Meeting the DSM-5 criteria for schizophrenia|""Cannabis user"" group: - Smoking at least two days per week during the previous months|Displaying positive urine screen for cannabis|""Non-cannabis user"" group: - No episode of cannabis smoking during the previous month|Negative urine screen for cannabis + no lifetime criteria for cannabis use disorder (assessment by an addiction specialist).||Exclusion Criteria:||Current criteria for axis-1 psychiatric disorder other than schizophrenia|Current criteria for any other substance use disorder except for nicotine use disorder|Any contraindication for MRI|Tutorship or curatorship|Pregnant or lactating woman",25 subjects with schizophrenia and current cannabis use will be recruited in the experimental group. The control group will consist of 25 subjects with schizophrenia but with no cannabis use.,Schizophrenia ; Cannabis,Recruiting,Bron,"December 7, 2018",0
